"month","salary"
"январь","29437.5"
"февраль","29453.1"
"март","31501.1"
"апрель","31414.2"
"май","32419.7"
"июнь","33077.3"
"июль","32492.6"
"август","30614.9"
"сентябрь","32514.4"
"октябрь","32007.6"
"ноябрь","31729"
"декабрь","36559.6"
